A0A1P8AUY4	AT1G67120	ARATH|TAIR=locus|UniProtKB=A0A1P8AUY4	ARATH|TAIR=AT1G67120|UniProtKB=A0A1P8AUY4
A0A1P8B760	AT4G34880	ARATH|TAIR=locus|UniProtKB=A0A1P8B760	ARATH|TAIR=AT4G34880|UniProtKB=A0A1P8B760
A1A6I8	AT4G16765	ARATH|TAIR=locus|UniProtKB=A1A6I8	ARATH|TAIR=AT4G16765|UniProtKB=A1A6I8
A8MQ86	AT5G36340	ARATH|TAIR=locus|UniProtKB=A8MQ86	ARATH|TAIR=AT5G36340|UniProtKB=A8MQ86
A8MQA3	AT4G21065	ARATH|TAIR=locus|UniProtKB=A8MQA3	ARATH|TAIR=AT4G21065|UniProtKB=A8MQA3
A8MQA4	AT4G15953	ARATH|TAIR=locus|UniProtKB=A8MQA4	ARATH|TAIR=AT4G15953|UniProtKB=A8MQA4
A8MQN0	AT2G41997	ARATH|TAIR=locus|UniProtKB=A8MQN0	ARATH|TAIR=AT2G41997|UniProtKB=A8MQN0
A8MRK3	AT1G60913	ARATH|TAIR=locus|UniProtKB=A8MRK3	ARATH|TAIR=AT1G60913|UniProtKB=A8MRK3
B3H5A8	AT1G18330	ARATH|TAIR=locus|UniProtKB=B3H5A8	ARATH|TAIR=AT1G18330|UniProtKB=B3H5A8
B3H6C3	AT4G35733	ARATH|TAIR=locus|UniProtKB=B3H6C3	ARATH|TAIR=AT4G35733|UniProtKB=B3H6C3
B9DFX7	AT5G21930	ARATH|TAIR=locus|UniProtKB=B9DFX7	ARATH|TAIR=AT5G21930|UniProtKB=B9DFX7
B9DGG8	AT1G28330	ARATH|TAIR=locus|UniProtKB=B9DGG8	ARATH|TAIR=AT1G28330|UniProtKB=B9DGG8
B9DGU7	AT1G02880	ARATH|TAIR=locus|UniProtKB=B9DGU7	ARATH|TAIR=AT1G02880|UniProtKB=B9DGU7
C0LGM1	AT2G37050	ARATH|TAIR=locus|UniProtKB=C0LGM1	ARATH|TAIR=AT2G37050|UniProtKB=C0LGM1
C0SUU5	AT1G11490	ARATH|TAIR=locus|UniProtKB=C0SUU5	ARATH|TAIR=AT1G11490|UniProtKB=C0SUU5
C0SUU8	AT1G11950	ARATH|TAIR=locus|UniProtKB=C0SUU8	ARATH|TAIR=AT1G11950|UniProtKB=C0SUU8
C0SUW8	AT1G21160	ARATH|TAIR=locus|UniProtKB=C0SUW8	ARATH|TAIR=AT1G21160|UniProtKB=C0SUW8
C0SUZ3	AT1G35490	ARATH|TAIR=locus|UniProtKB=C0SUZ3	ARATH|TAIR=AT1G35490|UniProtKB=C0SUZ3
C0SV12	AT1G62310	ARATH|TAIR=locus|UniProtKB=C0SV12	ARATH|TAIR=AT1G62310|UniProtKB=C0SV12
C0SV91	AT2G46670	ARATH|TAIR=locus|UniProtKB=C0SV91	ARATH|TAIR=AT2G46670|UniProtKB=C0SV91
C0SVJ2	AT4G23860	ARATH|TAIR=locus|UniProtKB=C0SVJ2	ARATH|TAIR=AT4G23860|UniProtKB=C0SVJ2
C0SVJ8	AT4G25990	ARATH|TAIR=locus|UniProtKB=C0SVJ8	ARATH|TAIR=AT4G25990|UniProtKB=C0SVJ8
C0SVN2	AT5G03780	ARATH|TAIR=locus|UniProtKB=C0SVN2	ARATH|TAIR=AT5G03780|UniProtKB=C0SVN2
F2Y4A3	AT4G21534	ARATH|TAIR=locus|UniProtKB=F2Y4A3	ARATH|TAIR=AT4G21534|UniProtKB=F2Y4A3
F4HQM3	AT1G07380	ARATH|TAIR=locus|UniProtKB=F4HQM3	ARATH|TAIR=AT1G07380|UniProtKB=F4HQM3
F4HZW3	AT1G29120	ARATH|TAIR=locus|UniProtKB=F4HZW3	ARATH|TAIR=AT1G29120|UniProtKB=F4HZW3
F4I3C3	AT1G49670	ARATH|TAIR=locus|UniProtKB=F4I3C3	ARATH|TAIR=AT1G49670|UniProtKB=F4I3C3
F4I3K4	AT1G56145	ARATH|TAIR=locus|UniProtKB=F4I3K4	ARATH|TAIR=AT1G56145|UniProtKB=F4I3K4
F4I456	AT1G04130	ARATH|TAIR=locus|UniProtKB=F4I456	ARATH|TAIR=AT1G04130|UniProtKB=F4I456
F4I4P8	AT1G23250	ARATH|TAIR=locus|UniProtKB=F4I4P8	ARATH|TAIR=AT1G23250|UniProtKB=F4I4P8
F4I8M8	AT1G78050	ARATH|TAIR=locus|UniProtKB=F4I8M8	ARATH|TAIR=AT1G78050|UniProtKB=F4I8M8
F4I8Y4	AT1G11593	ARATH|TAIR=locus|UniProtKB=F4I8Y4	ARATH|TAIR=AT1G11593|UniProtKB=F4I8Y4
F4IAW1	AT1G25210	ARATH|TAIR=locus|UniProtKB=F4IAW1	ARATH|TAIR=AT1G25210|UniProtKB=F4IAW1
